path	flow	name	node_id
1:1:393	2.93E-05	255184	255184
1:1:394	2.79E-05	421759	421759
1:1:395	2.79E-05	430981	430981
1:1:396	2.79E-05	168406	168406
1:1:397	2.79E-05	143126	143126
1:1:398	2.79E-05	90280	90280
1:1:399	2.79E-05	410547	410547
1:1:400	2.79E-05	188979	188979
1:1:401	2.79E-05	277703	277703
1:1:402	2.79E-05	467147	467147
1:1:403	2.66E-05	52669	52669
1:1:404	2.66E-05	60426	60426
1:1:405	2.66E-05	247178	247178
1:1:406	2.66E-05	241861	241861
1:1:407	2.66E-05	766775	766775
1:1:408	2.66E-05	227055	227055
1:1:409	2.66E-05	461529	461529
1:1:410	2.53E-05	404301	404301
1:1:411	2.53E-05	312264	312264
1:1:412	2.53E-05	454361	454361
1:1:413	2.39E-05	16618	16618
1:1:414	2.39E-05	497628	497628
1:1:415	2.39E-05	377980	377980
1:1:416	2.39E-05	412002	412002
1:1:417	2.39E-05	416951	416951
1:1:418	2.26E-05	402210	402210
1:1:419	2.26E-05	155031	155031
1:1:420	2.13E-05	147173	147173
1:1:421	2.13E-05	191369	191369
1:1:422	2.13E-05	234898	234898
1:1:423	2.13E-05	295366	295366
1:1:424	2.13E-05	395798	395798
1:1:425	2.13E-05	40274	40274
1:1:426	2.13E-05	166513	166513
1:1:427	2.13E-05	488652	488652
1:1:428	2.13E-05	310442	310442
1:1:429	1.99E-05	235203	235203
1:1:430	1.99E-05	396104	396104
1:1:431	1.99E-05	299524	299524
1:1:432	1.99E-05	186990	186990
1:1:433	1.99E-05	350807	350807
1:1:434	1.99E-05	203199	203199
1:1:435	1.86E-05	171326	171326
1:1:436	1.86E-05	262930	262930
1:1:437	1.86E-05	270635	270635
1:1:438	1.86E-05	304025	304025
1:1:439	1.86E-05	131209	131209
1:1:440	1.86E-05	210769	210769
1:1:441	1.86E-05	124260	124260
1:1:442	1.86E-05	286790	286790
1:1:443	1.86E-05	275299	275299
1:1:444	1.86E-05	320926	320926
1:1:445	1.86E-05	345017	345017
1:1:446	1.86E-05	109868	109868
1:1:447	1.86E-05	176336	176336
1:1:448	1.86E-05	254256	254256
1:1:449	1.73E-05	204266	204266
1:1:450	1.73E-05	77331	77331
1:1:451	1.73E-05	88695	88695
1:1:452	1.73E-05	69368	69368
1:1:453	1.73E-05	242765	242765
1:1:454	1.60E-05	76193	76193
1:1:455	1.60E-05	370015	370015
1:1:456	1.60E-05	1758624	1758624
1:1:457	1.60E-05	1832688	1832688
1:1:458	1.60E-05	423368	423368
1:1:459	1.60E-05	302592	302592
1:1:460	1.60E-05	506984	506984
1:1:461	1.60E-05	127068	127068
1:1:462	1.60E-05	129745	129745
1:1:463	1.60E-05	433923	433923
1:1:464	1.60E-05	377326	377326
1:1:465	1.60E-05	380855	380855
1:1:466	1.60E-05	292897	292897
1:1:467	1.46E-05	228424	228424
1:1:468	1.46E-05	8973	8973
1:1:469	1.46E-05	447989	447989
1:1:470	1.46E-05	75723	75723
1:1:471	1.46E-05	238258	238258
1:1:472	1.33E-05	344054	344054
1:1:473	1.33E-05	30493	30493
1:1:474	1.33E-05	434953	434953
1:1:475	1.33E-05	434847	434847
1:1:476	1.33E-05	91897	91897
1:1:477	1.33E-05	95685	95685
1:1:478	1.33E-05	108739	108739
1:1:479	1.33E-05	113357	113357
1:1:480	1.33E-05	166359	166359
1:1:481	1.33E-05	219646	219646
1:1:482	1.33E-05	331888	331888
1:1:483	1.33E-05	229847	229847
1:1:484	1.33E-05	247055	247055
1:1:485	1.20E-05	80329	80329
1:1:486	1.20E-05	3946	3946
1:1:487	1.20E-05	27153	27153
1:1:488	1.20E-05	387284	387284
1:1:489	1.20E-05	133899	133899
1:1:490	1.20E-05	140815	140815
1:1:491	1.20E-05	147885	147885
