Source Target Weight
57484 292751 42
28372 292751 42
292751 233210 42
374035 712066 42
118674 445495 42
454904 404310 42
140865 459201 42
208560 169688 42
54140 380474 42
380474 109322 42
74417 284000 42
262772 118065 42
262772 133769 42
54226 133188 42
296513 626850 42
28351 678740 42
165445 490784 41
165445 92853 41
444562 451384 41
110898 211676 41
405164 409056 41
211092 307171 41
163608 159172 41
180681 225990 41
359327 464750 41
359327 226055 41
359327 177706 41
41599 2367 41
157744 382466 41
157744 334839 41
404907 202280 41
404907 49572 41
82628 164792 41
82628 422063 41
118674 203910 41
259708 451384 41
331059 404310 41
364448 307360 41
364448 459201 41
287832 140865 41
380474 328887 41
301420 678740 41
771160 667801 41
1852803 1035774 41
250291 180379 40
250291 272518 40
250291 93396 40
434359 180681 40
128262 140865 40
12852 82628 40
294668 169843 40
307171 292751 40
249638 321451 40
192358 283914 40
163608 222880 40
163608 334839 40
195792 262772 40
406150 226055 40
315203 306228 40
277693 67095 40
16 180379 40
464750 92954 40
409056 211676 40
222880 157744 40
157744 4523 40
206582 292751 40
82628 462828 40
122757 159172 40
122757 202280 40
311008 453333 40
213947 22805 40
57484 112274 40
413071 159172 40
28372 369556 40
292751 298693 40
283914 159172 40
369556 298693 40
118674 404310 40
331059 265751 40
331059 238392 40
54140 40115 40
463143 118065 40
380474 319463 40
74417 277800 40
74417 242693 40
301420 28351 40
165445 49572 39
12852 165975 39
371959 292751 39
169843 180379 39
211092 157744 39
192358 55278 39
192358 202280 39
192358 211676 39
163608 353309 39
163608 57484 39
180681 360811 39
40843 306228 39
308152 74417 39
16 333722 39
14308 92954 39
157744 164792 39
206582 51948 39
82628 118212 39
165975 211676 39
83027 73141 39
83027 310723 39
453333 179269 39
434479 451384 39
474938 471871 39
397572 328887 39
488832 157633 39
208560 118065 39
246330 14586 39
479640 479052 39
250291 416091 38
250291 164484 38
165445 136299 38
371959 712066 38
432674 2367 38
163608 712066 38
163608 345158 38
195792 72423 38
195792 418260 38
16 225990 38
16 93396 38
464750 103107 38
14308 103107 38
307519 262772 38
206582 233210 38
82628 382466 38
82628 30844 38
122757 298693 38
83027 140865 38
2367 33168 38
50197 49572 38
292751 369556 38
334839 202280 38
283914 369556 38
49572 384839 38
238392 85648 38
430083 431753 38
170293 431753 38
431753 386022 38
140865 307360 38
418260 319463 38
208560 130970 38
169688 463143 38
54140 204997 38
466435 74417 38
262772 109322 38
268109 226782 37
250291 164792 37
250291 3199 37
432674 132873 37
307171 127261 37
307171 314698 37
180681 257228 37
237487 179269 37
306228 277800 37
464750 22805 37
273946 394628 37
41599 453333 37
41599 331059 37
41599 132873 37
353309 211676 37
72423 122039 37
72423 109322 37
72423 319463 37
311008 454904 37
118212 49572 37
417781 233210 37
57484 164484 37
2367 238392 37
28372 112274 37
51948 369556 37
374035 49572 37
233210 159172 37
159172 55278 37
118674 451384 37
418260 309644 37
418260 133769 37
208560 328887 37
175501 118065 37
452617 277800 37
40115 319463 37
244551 389980 37
246331 251647 37
118065 109322 37
301420 34363 37
206474 479640 37
250291 225990 36
250291 458855 36
165445 286766 36
12852 226782 36
12852 321451 36
405164 307171 36
309240 409056 36
163608 410407 36
256 397572 36
183867 397572 36
242732 140865 36
226055 22805 36
273946 171130 36
14308 146587 36
14308 213947 36
307519 40115 36
182876 418260 36
182876 262772 36
275897 157744 36
82628 38145 36
83027 307360 36
83027 163302 36
314698 410407 36
22805 207679 36
283914 112274 36
374035 55278 36
132873 203910 36
431753 97375 36
431753 162114 36
431753 975036 36
418260 122039 36
2570623 71834 36
2570623 2508045 36
122039 130970 36
446693 427304 36
28351 2508045 36
250291 112274 35
295644 307171 35
165445 369857 35
444562 277693 35
12852 371959 35
294668 307171 35
294668 249638 35
110898 353309 35
110898 180379 35
307171 440294 35
307171 44601 35
307171 57484 35
307171 712066 35
163608 228450 35
163608 21967 35
406150 14308 35
277693 158633 35
277693 434479 35
273946 2042 35
182876 204997 35
157744 159172 35
82628 348342 35
226782 66640 35
57484 159172 35
413071 334839 35
33168 203910 35
179269 132873 35
177706 22805 35
28372 384839 35
159172 410407 35
492573 40281 35
410407 112274 35
132873 442071 35
474938 474573 35
175501 169688 35
466435 242693 35
122039 380474 35
463143 133769 35
1430565 362146 35
130970 133769 35
467219 193903 35
352482 125006 35
250291 165975 34
250291 16 34
250291 291849 34
250291 335813 34
250291 457969 34
12852 249638 34
12852 225990 34
110898 165975 34
307171 323159 34
249638 381324 34
192358 93396 34
180681 21967 34
256 130970 34
237487 394628 34
242732 364448 34
273946 193209 34
273946 67095 34
295351 52351 34
72423 175501 34
157744 413071 34
157744 112274 34
82628 334156 34
82628 258409 34
82628 458855 34
122757 369556 34
311008 118674 34
92954 209529 34
83027 298 34
57484 171137 34
2367 394628 34
209529 146587 34
292751 334839 34
292751 374035 34
334839 233210 34
334839 55278 34
283914 374035 34
233210 112274 34
49572 112274 34
298693 159172 34
298693 109138 34
159172 202280 34
55278 112274 34
67095 378704 34
265751 238392 34
258428 362146 34
474938 475417 34
453052 37054 34
431753 83600 34
431753 19495 34
251407 140865 34
73141 140865 34
225169 251647 34
274557 909099 34
2570623 1032919 34
122039 118065 34
204997 328887 34
380474 20594 34
328887 130970 34
389980 165143 34
239252 479640 34
424900 91949 34
268109 157744 33
250291 348342 33
165445 366315 33
165445 405164 33
165445 292751 33
12852 157744 33
12852 291849 33
371959 298693 33
371959 222880 33
432674 41599 33
307171 55278 33
192358 222880 33
192358 180379 33
180681 146930 33
180681 286766 33
180681 136299 33
195792 40115 33
315203 74417 33
150286 213686 33
347324 364448 33
16 360811 33
16 136299 33
359327 207679 33
221082 92954 33
273946 98521 33
273946 259708 33
41599 259708 33
295351 327152 33
295351 238481 33
157744 345158 33
157744 30844 33
206582 283914 33
206582 55278 33
206582 298693 33
82628 362133 33
82628 254083 33
82628 384839 33
122757 226782 33
226782 360184 33
226782 283914 33
118212 712066 33
83027 364448 33
314698 55278 33
57484 374035 33
57484 258409 33
453333 342143 33
164484 55278 33
10804 410407 33
334839 369556 33
118674 2042 33
132873 394628 33
202280 112274 33
19111 98521 33
300857 98521 33
2042 60920 33
431753 179974 33
431753 771160 33
364448 287832 33
364448 408998 33
175501 133769 33
190026 298 33
225169 246331 33
897927 1430565 33
2570623 301420 33
148200 179358 33
97375 2508045 33
1852803 1032919 33
317588 109609 33
268109 381324 32
250291 249638 32
165445 22242 32
444562 98521 32
444562 301325 32
12852 286766 32
169843 409056 32
192358 291849 32
192358 417781 32
163608 51948 32
163608 55278 32
195792 118065 32
406150 207679 32
308152 284000 32
273946 179269 32
41599 453052 32
72423 182876 32
182876 380474 32
275897 298693 32
275897 712066 32
157744 404907 32
157744 171137 32
82628 348706 32
82628 335813 32
82628 427915 32
82628 50197 32
83027 190026 32
314698 57484 32
413071 202280 32
2367 420376 32
33168 454904 32
179269 60920 32
410407 30844 32
118674 238392 32
259708 265751 32
312693 305524 32
397572 54140 32
397572 319463 32
431753 405364 32
751903 1322691 32
416757 427888 32
897927 679902 32
298 213686 32
74417 455426 32
328887 262772 32
1430565 429908 32
118065 133769 32
301420 1443854 32
292753 667402 32
87606 411075 32
268109 122757 31
250291 341561 31
250291 434359 31
250291 376202 31
250291 10804 31
165445 360811 31
165445 66640 31
165445 21967 31
444562 203910 31
444562 427304 31
3090 140865 31
12852 92853 31
12852 345973 31
294668 381324 31
371959 206582 31
307171 93396 31
163608 330469 31
163608 118212 31
163608 283914 31
163608 490784 31
163608 298693 31
256 72423 31
256 118065 31
256 204997 31
183867 72423 31
195792 307519 31
237487 355797 31
237487 37054 31
277693 378704 31
277693 286671 31
88036 16 31
16 369857 31
464750 213947 31
464750 146587 31
221082 22805 31
275897 109138 31
206582 202280 31
206582 369556 31
122757 51948 31
226782 55278 31
311008 132873 31
422063 57484 31
83027 413301 31
83027 27932 31
413071 233210 31
413071 292751 31
348706 49572 31
453333 286671 31
164484 49572 31
291849 56990 31
292751 159172 31
334839 298693 31
171137 55278 31
369556 202280 31
49572 348342 31
49572 109138 31
712066 430532 31
15585 140865 31
258428 897927 31
404310 60920 31
397572 122039 31
431753 246331 31
431753 62832 31
431753 301420 31
175501 130970 31
175501 319463 31
54140 463143 31
289030 277800 31
463143 319463 31
204997 319463 31
389980 2079038 31
1430565 644232 31
477760 482318 31
429908 396537 31
97375 4040352 31
268109 371959 30
250291 211676 30
165445 82801 30
165445 283914 30
142582 140865 30
444562 238392 30
12852 136299 30
12852 93396 30
110898 225990 30
432674 331059 30
432674 259708 30
307171 382466 30
249638 93396 30
163608 136299 30
163608 202280 30
256 262772 30
315203 466435 30
301325 118674 30
359327 221082 30
41599 85648 30
307519 208560 30
307519 328887 30
157744 362133 30
404907 298693 30
82628 271355 30
122757 417781 30
226782 369556 30
226782 712066 30
211676 180379 30
92954 207679 30
92954 305939 30
417781 28372 30
417781 292751 30
314698 369556 30
164792 49572 30
453333 355797 30
164484 283914 30
180379 291849 30
334839 51948 30
51948 159172 30
51948 202280 30
171137 410407 30
369556 233210 30
118674 314341 30
132873 445495 30
98521 286671 30
2042 442071 30
431753 446066 30
140865 79440 30
418260 319455 30
418260 328887 30
2570623 174746 30
2570623 2224469 30
328887 118065 30
244551 2079038 30
142296 20559 30
34363 97375 30
188577 97375 30
1443854 292753 30
678740 1032919 30
268109 211676 29
268109 180379 29
268109 160700 29
250291 38145 29
250291 440294 29
250291 271355 29
250291 146930 29
160700 163608 29
448319 307171 29
165445 263813 29
444562 446693 29
110898 371959 29
432674 453052 29
405164 309240 29
169843 321451 29
169843 93396 29
211092 192358 29
307171 206582 29
307171 291849 29
249638 333722 29
192358 214640 29
192358 381324 29
163608 92853 29
163608 193426 29
180681 291849 29
256 418260 29
181851 418260 29
40843 308152 29
308152 466435 29
150286 298 29
277693 273946 29
277693 251913 29
119099 259708 29
273946 342143 29
273946 286671 29
72423 328887 29
307519 133769 29
157744 118212 29
157744 348342 29
122757 413071 29
226782 28372 29
417781 712066 29
462828 410407 29
