Id,order,stance_1,stance_2,stance_3
180681,317,2 (neutral),2 (neutral),2 (neutral)
49572,318,2 (neutral),2 (neutral),2 (neutral)
364448,319,2 (neutral),1 (pro),1 (pro)
453052,320,1 (pro),1 (pro),1 (pro)
364448,321,2 (neutral),1 (pro),1 (pro)
233210,322,2 (neutral),2 (neutral),2 (neutral)
237487,323,1 (pro),1 (pro),1 (pro)
371959,324,3 (anti),3 (anti),2 (neutral)
157744,325,3 (anti),2 (neutral),3 (anti)
192358,326,3 (anti),3 (anti),3 (anti)
417781,327,2 (neutral),3 (anti),2 (neutral)
60920,328,2 (neutral),2 (neutral),2 (neutral)
164792,329,3 (anti),3 (anti),3 (anti)
268109,330,2 (neutral),2 (neutral),2 (neutral)
164792,331,3 (anti),3 (anti),3 (anti)
2367,332,2 (neutral),2 (neutral),2 (neutral)
453052,333,1 (pro),2 (neutral),1 (pro)
259708,334,2 (neutral),2 (neutral),2 (neutral)
331059,335,1 (pro),1 (pro),1 (pro)
60920,336,1 (pro),1 (pro),1 (pro)
85648,337,2 (neutral),2 (neutral),2 (neutral)
417781,338,3 (anti),3 (anti),3 (anti)
148200,339,1 (pro),1 (pro),1 (pro)
165445,340,2 (neutral),2 (neutral),2 (neutral)
453052,341,1 (pro),2 (neutral),1 (pro)
259708,342,2 (neutral),2 (neutral),2 (neutral)
307171,343,2 (neutral),3 (anti),3 (anti)
163608,344,3 (anti),3 (anti),3 (anti)
2367,345,2 (neutral),2 (neutral),2 (neutral)
41599,346,1 (pro),2 (neutral),2 (neutral)
157744,347,2 (neutral),2 (neutral),2 (neutral)
417781,348,2 (neutral),2 (neutral),2 (neutral)
237487,349,2 (neutral),2 (neutral),2 (neutral)
171137,350,2 (neutral),2 (neutral),1 (pro)
82628,351,2 (neutral),2 (neutral),2 (neutral)
164792,352,2 (neutral),2 (neutral),2 (neutral)
268109,353,2 (neutral),3 (anti),2 (neutral)
444562,354,3 (anti),2 (neutral),3 (anti)
12852,355,1 (pro),1 (pro),2 (neutral)
140865,356,1 (pro),1 (pro),1 (pro)
307171,357,2 (neutral),2 (neutral),3 (anti)
140865,358,1 (pro),1 (pro),1 (pro)
371959,359,3 (anti),3 (anti),3 (anti)
163608,360,2 (neutral),3 (anti),2 (neutral)
171137,361,2 (neutral),2 (neutral),2 (neutral)
259708,362,1 (pro),1 (pro),1 (pro)
148200,363,1 (pro),1 (pro),1 (pro)
453052,364,1 (pro),1 (pro),2 (neutral)
331059,365,1 (pro),1 (pro),2 (neutral)
157744,366,2 (neutral),2 (neutral),2 (neutral)
409056,367,3 (anti),3 (anti),2 (neutral)
132873,368,1 (pro),2 (neutral),1 (pro)
49572,369,3 (anti),3 (anti),3 (anti)
41599,370,1 (pro),2 (neutral),1 (pro)
118674,371,1 (pro),1 (pro),1 (pro)
171137,372,2 (neutral),2 (neutral),2 (neutral)
60920,373,1 (pro),1 (pro),1 (pro)
462828,374,2 (neutral),2 (neutral),2 (neutral)
250291,375,3 (anti),3 (anti),2 (neutral)
409056,376,3 (anti),2 (neutral),3 (anti)
140865,377,1 (pro),1 (pro),1 (pro)
82628,378,2 (neutral),2 (neutral),2 (neutral)
444562,379,1 (pro),2 (neutral),2 (neutral)
12852,380,1 (pro),1 (pro),1 (pro)
250291,381,2 (neutral),2 (neutral),2 (neutral)
2367,382,1 (pro),1 (pro),1 (pro)
226782,383,2 (neutral),2 (neutral),2 (neutral)
165445,384,3 (anti),3 (anti),2 (neutral)
268109,385,3 (anti),3 (anti),3 (anti)
331059,386,1 (pro),1 (pro),2 (neutral)
157744,387,2 (neutral),2 (neutral),2 (neutral)
250291,388,3 (anti),3 (anti),3 (anti)
118674,389,1 (pro),1 (pro),1 (pro)
82628,390,2 (neutral),2 (neutral),1 (pro)
180681,391,2 (neutral),2 (neutral),3 (anti)
192358,392,3 (anti),3 (anti),2 (neutral)
