"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
1972443,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",31,85.9290276510146,2.22506473254142e-05,0
197296,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",81,250.927061344453,7.01488533484708e-05,0
1972992,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,32,863.127650127649,2.70182906948806e-05,0
197322,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",1,0,1.52732347603602e-05,0
197398,2,TRUE,4,TRUE,"micro","micro TRUE","2 TRUE","Pro-vaccine",1,0,2.99383660436014e-05,0
197486,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,8,42.8333333333333,1.609684390982e-05,0
197493,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,463,34173.4491222425,0.000671906819693233,3
1975415,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,212,7567.50634365636,0.000214787193700159,0
197550,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",1,0,1.46778561622723e-05,0
197638,3,TRUE,NA,FALSE,NA,"NA TRUE","3 TRUE",NA,1,0,1.45428414469804e-05,0
1977256,7,NA,NA,FALSE,NA,"NA NA","7 NA",NA,1,0,2.15326387703402e-05,0
197756,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",17,85.2992063492064,2.05991433372148e-05,0
197757,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",6,21.5511904761905,1.6886233740635e-05,0
197775,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",1,0,1.46762216488589e-05,0
197795,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",2,416.25,2.43388986190407e-05,0
1977981,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,142,35765.458362836,0.000133396505072072,0
1978276,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,32,33.0087662337662,3.37365060309026e-05,0
1978292,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",3,125.402673040754,1.48849474735309e-05,0
1978462,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",13,198.180996232682,1.96824163635857e-05,0
